Date,Open,High,Low,Close,Volume
2013-11-22,152.3715,153.0911,152.1937,152.9598,66074122
2013-11-25,153.345,153.3789,152.7016,152.8413,67412349
2013-11-26,152.9979,153.4212,152.7313,153.362,73907582
2013-11-27,153.1249,153.4382,152.9387,153.3535,51785091
2013-12-02,153.3112,153.599,152.6,152.8879,77606248
2013-12-03,152.3376,152.7186,151.6857,151.9355,92555559
2013-12-04,151.6264,152.7948,150.9915,152.109,108635975
2013-12-05,151.8889,152.1683,151.3472,151.5333,88881159
2013-12-06,152.9556,153.3281,152.5154,153.0657,99748725
2013-12-09,153.6329,153.8022,153.3704,153.4805,60607645
2013-12-10,153.2181,153.5398,152.926,153.2604,62825022
2013-12-11,153.0741,153.108,151.1185,151.5249,112375844
2013-12-12,151.237,151.4233,150.492,151.2666,95411221
2013-12-13,151.1185,151.2539,150.5005,151.0846,83401661
2013-12-16,151.4995,152.2275,151.4571,151.7534,75772707
2013-12-17,151.8466,151.8889,150.9068,151.5079,76416821
2013-12-18,151.4741,153.853,150.1195,153.2265,209951611
2013-12-19,153.3958,153.8276,152.9895,153.6075,113128321
2013-12-20,153.786,154.9096,153.7775,154.6372,134406962
2013-12-23,155.2671,155.4629,154.9734,155.3309,66826970
2013-12-26,156.0587,156.5865,156.0417,156.5275,53358405
2013-12-27,156.7056,156.7737,156.3311,156.4588,54074887
2013-12-30,156.5099,156.6375,156.263,156.3779,47595863
2013-12-31,156.6801,157.1993,156.5609,156.8418,69414273
2014-01-02,156.6035,156.6801,155.3267,155.7012,109334543
2014-01-03,155.9481,156.28,155.4544,156.0502,72198336
2014-01-06,156.1694,156.246,154.9862,155.582,90391496
2014-01-07,155.8459,156.4418,155.7268,156.263,74373545
2014-01-08,156.1523,156.4758,155.6757,155.8544,87042309
2014-01-09,156.7056,156.7312,155.5948,156.3396,79602369
2014-01-10,156.5779,156.8078,155.7778,156.595,78350499
2014-01-13,156.3737,156.7737,154.3563,154.6117,122637309
2014-01-14,155.1564,156.4247,154.8756,156.3813,85733073
2014-01-15,156.7056,157.4206,156.629,157.1653,83949007
2014-01-16,156.8588,157.1838,156.4758,156.8503,62017661
2014-01-17,156.7056,157.0035,156.0417,156.28,86767865
2014-01-21,157.2163,157.2759,155.8119,156.6036,77923734
2014-01-22,157.0376,157.1057,156.5439,157.0206,54442933
2014-01-23,156.0757,156.1098,154.7649,155.1989,115702626
2014-01-24,154.5776,154.6287,152.2539,152.6539,177560906
2014-01-27,152.4156,152.8071,150.7643,152.2028,161249477
2014-01-28,151.6325,152.6199,151.6155,152.4071,91444070
2014-01-29,151.1388,151.9815,150.56,150.7302,181654554
2014-01-30,152.2453,153.054,151.7346,152.8795,97706107
2014-01-31,150.6791,152.6114,150.594,151.9985,159754700
2014-02-03,151.4708,151.8283,147.9638,148.449,224275109
2014-02-04,148.9172,149.6747,148.3979,148.9257,145563749
2014-02-05,148.781,149.4364,147.8617,149.2491,147126847
2014-02-06,149.4534,151.0707,149.1478,150.9047,110841449
2014-02-07,151.7772,153.1051,151.2835,152.9178,132816080
2014-02-10,152.9604,153.2753,152.5433,153.0455,72495979
2014-02-11,153.3519,155.2918,153.2668,155.1222,103770657
2014-02-12,155.1054,155.6246,154.667,154.9096,86701181
2014-02-13,153.9307,155.9396,153.9222,155.7438,87156024
2014-02-14,155.6331,156.9269,155.4884,156.7312,77910377
2014-02-18,156.7822,157.0376,156.3226,156.995,69089348
2014-02-19,156.4162,157.4291,155.6587,155.9821,108182162
2014-02-20,155.9991,157.0631,155.4288,156.9431,89759527
2014-02-21,157.0376,157.3781,156.4503,156.978,101797653
2014-02-24,156.8588,158.4506,156.7907,157.6505,94995722
2014-02-25,157.4972,157.9739,156.8163,157.1653,97918776
2014-02-26,157.5653,157.9824,156.9014,157.3262,84609722
2014-02-27,157.1227,158.1867,156.9355,158.0165,81042995
2014-02-28,158.1442,159.3018,157.5143,158.2548,129328202
2014-03-03,157.2078,157.8547,156.4077,157.0546,143395014
2014-03-04,158.9613,160.0083,158.9613,159.8806,150460099
2014-03-05,159.787,160.0849,159.5571,159.7275,72803192
2014-03-06,160.2041,160.5445,159.9317,160.2764,72053049
2014-03-07,160.7658,160.8425,159.5401,160.0508,93730745
2014-03-10,159.9742,160.2211,159.2422,159.9061,67783408
2014-03-11,160.3998,160.6297,159.0039,159.2252,88424946
2014-03-12,158.5953,159.472,158.2378,159.0039,94004069
2014-03-13,159.8891,160.0168,157.1823,157.4632,138118192
2014-03-14,157.3015,158.1527,156.995,157.2589,134968954
2014-03-17,157.9739,158.9783,157.9058,158.7187,86986594
2014-03-18,158.9273,159.9487,158.757,159.7785,89279552
2014-03-19,159.7699,159.9742,157.8718,158.6549,146595055
2014-03-20,158.5357,159.9317,158.2548,159.5401,100441450
2014-03-21,160.4922,161.607,159.0473,159.4492,135014920
2014-03-24,159.7227,159.9365,157.8418,158.9362,111076576
2014-03-25,159.338,159.8253,158.3976,159.4235,96370916
2014-03-26,159.9023,160.1673,158.124,158.6882,103611924
2014-03-27,157.9701,158.4574,157.2263,157.8589,127624491
2014-03-28,158.2565,159.3808,158.1667,158.4318,89205187
2014-03-31,159.5774,160.1331,159.4235,159.9621,84859181
2014-04-01,160.4067,161.0394,160.2614,160.7316,78024247
2014-04-02,161.1591,161.6977,160.8513,161.5712,71323171
2014-04-03,161.7319,161.7746,160.7743,161.2959,70301418
2014-04-04,162.1337,162.185,159.1072,159.6629,148850775
2014-04-07,158.9362,159.244,157.2776,158.1667,127240258
2014-04-08,157.4913,158.5087,156.9612,158.2437,102533919
2014-04-09,158.6797,160.0049,158.218,159.6971,90202703
2014-04-10,159.9536,160.022,156.397,156.6364,152899561
2014-04-11,155.7472,156.8159,155.0119,155.542,149023893
2014-04-14,156.397,156.7731,155.1231,155.7344,117137392
2014-04-15,156.7304,157.5939,155.1829,157.4272,147927545
2014-04-16,158.5686,159.1414,157.8675,158.8764,90084106
2014-04-17,158.9191,159.7997,158.6455,159.5774,89108626
2014-04-21,159.3979,159.9621,159.2012,159.7398,53976086
2014-04-22,160.0733,161.0736,159.9878,160.8085,76645096
2014-04-23,160.5691,160.6632,160.1331,160.3725,64737367
2014-04-24,161.0479,161.065,159.8168,160.6375,80860085
2014-04-25,160.0562,160.1588,158.9105,159.3808,91020713
2014-04-28,159.9194,160.4666,158.1325,159.9878,121738946
2014-04-29,160.287,160.7658,159.945,160.6151,72263068
2014-04-30,160.2528,161.1591,160.0305,160.9795,86487388
2014-05-01,160.9197,161.4498,160.5008,160.7914,83374257
2014-05-02,160.9966,161.7062,160.5435,160.7743,81404575
2014-05-05,159.9963,161.2018,159.5518,161.0992,62535149
2014-05-06,160.7316,160.8427,159.6543,159.9066,71327924
2014-05-07,160.2443,160.7059,159.0302,160.2186,96319978
2014-05-08,160.4495,161.6293,159.945,160.3554,88429794
2014-05-09,160.4666,160.7658,159.7313,160.5179,75353550
2014-05-12,161.3814,162.3389,161.3728,162.1978,71498564
2014-05-13,162.4672,162.8006,162.2449,162.3817,61567161
2014-05-14,162.262,162.3389,161.407,161.5694,64598878
2014-05-15,161.3044,161.3472,159.4321,160.0049,141622368
2014-05-16,160.3127,160.8427,159.6372,160.6632,85772385
2014-05-19,160.4666,161.4925,160.3212,161.4113,51886493
2014-05-20,161.283,161.3044,159.9365,160.3212,95010538
2014-05-21,160.8171,161.7746,160.7829,161.7105,78170195
2014-05-22,161.7404,162.4244,161.4669,162.2192,57717668
2014-05-23,162.2278,162.8519,162.1679,162.7878,50840095
2014-05-27,163.3392,163.7923,163.2537,163.6726,56645283
2014-05-28,163.741,163.9975,163.3478,163.9291,59908021
2014-05-29,163.9975,164.4763,163.5786,164.4079,56021993
2014-05-30,164.3139,164.8354,164.1771,164.5404,63730650
2014-06-02,164.9636,164.9978,164.1258,164.8183,55909372
2014-06-03,164.4934,164.9209,164.3652,164.8781,53082314
2014-06-04,164.5532,165.2629,164.378,165.1432,49406534
2014-06-05,165.3569,166.417,164.7499,166.1264,75819062
2014-06-06,166.6051,167.0839,166.5282,166.9471,60389091
2014-06-09,167.0155,167.614,166.8616,167.178,58887681
2014-06-10,166.9984,167.2293,166.6479,167.1267,50006872
2014-06-11,166.6308,166.8189,166.2717,166.6992,56214067
2014-06-12,166.417,166.5453,165.1004,165.3377,83103006
2014-06-13,165.7758,166.1349,165.2629,165.6775,64700402
2014-06-16,165.7673,166.4598,165.5706,165.981,68353125
2014-06-17,165.8784,166.6906,165.6989,166.4983,69560797
2014-06-18,166.5709,167.8876,166.2033,167.5199,93441106
2014-06-19,167.9389,168.0842,167.4002,167.9389,75379587
2014-06-20,168.4,168.4635,168.1165,168.2969,77258870
2014-06-23,168.3484,168.4172,167.9619,168.1852,50721265
2014-06-24,167.9704,168.8037,167.0684,167.339,88763026
2014-06-25,166.8709,168.1861,166.8709,167.9876,73009045
2014-06-26,168.0392,168.0563,166.7678,167.7986,70117931
2014-06-27,167.498,168.2711,167.4164,167.9318,56412477
2014-06-30,168.1165,168.5159,167.9704,168.284,60094259
2014-07-01,168.5374,169.7745,168.4859,169.491,82261768
2014-07-02,169.2762,169.6456,169.1989,169.3497,45159892
2014-07-03,169.9119,170.3414,169.4274,170.1268,42377640
2014-07-07,169.9377,170.0751,169.4222,169.5941,51295971
2014-07-08,169.3621,169.4222,168.168,168.5632,89208993
2014-07-09,169.0013,169.4867,168.6405,169.3192,65349742
2014-07-10,167.7041,169.113,167.5667,168.6491,87519377
2014-07-11,168.5632,169.0185,168.1852,168.9239,54742373
2014-07-14,169.7573,169.972,169.6112,169.6628,50612081
2014-07-15,169.8518,170.1782,168.6835,169.4137,98725511
2014-07-16,170.1868,170.3157,169.5941,170.1052,64618575
2014-07-17,169.5339,170.1782,167.8845,168.4266,121402868
2014-07-18,168.6749,170.015,168.5804,169.8432,109442978
2014-07-21,169.3106,169.6628,168.7436,169.6456,60057119
2014-07-22,170.1009,170.5734,169.9806,170.4016,59540476
2014-07-23,170.5175,170.8225,170.1782,170.7366,50930817
2014-07-24,170.8053,171.0029,170.4789,170.6421,49637742
2014-07-25,170.1696,170.3157,169.5167,169.7272,67444497
2014-07-28,169.8861,170.1696,168.9068,169.9549,63608454
2014-07-29,170.2383,170.4789,169.1817,169.4824,71898563
2014-07-30,169.7916,170.015,168.5116,169.2925,97201050
2014-07-31,168.0392,168.1852,165.8314,166.0333,153376859
2014-08-01,165.4191,166.4499,164.5686,165.5565,158169089
2014-08-04,165.6854,166.9138,164.9809,166.699,80145768
2014-08-05,165.8829,166.3125,164.3452,164.749,134105114
2014-08-06,164.1734,165.7025,164.1477,164.938,85979010
2014-08-07,165.7412,165.9087,163.6924,163.9046,119961735
2014-08-08,164.4741,166.1149,164.036,165.8915,99702296
2014-08-11,166.626,167.2231,166.407,166.5745,67721465
2014-08-12,166.3211,166.785,165.7455,166.0891,66052170
2014-08-13,166.9052,167.5667,166.6217,167.2832,58721767
2014-08-14,167.6526,168.1594,167.498,168.0864,50769083
2014-08-15,168.778,168.9326,166.9224,167.9103,131560415
2014-08-18,169.0614,169.6198,168.9669,169.3707,58453072
2014-08-19,169.9549,170.5562,169.7873,170.4918,51988148
2014-08-20,170.1954,171.0888,170.161,170.9685,66580831
2014-08-21,171.0287,171.6042,170.8912,171.5097,55424994
2014-08-22,171.2434,171.5441,170.728,171.2263,66797561
2014-08-25,171.9307,172.3215,171.6901,171.8791,58899846
2014-08-26,172.0939,172.5148,172.0509,172.1454,40243457
2014-08-27,172.1798,172.3001,171.7589,171.9092,39958619
2014-08-28,171.4582,172.0424,171.2864,171.9479,46092545
2014-08-29,172.197,172.4375,171.6558,172.1239,50904368
2014-09-02,172.6437,172.6652,171.6901,172.1497,62435295
2014-09-03,172.9959,173.0217,171.9994,172.165,50638037
2014-09-04,172.532,173.1677,171.5183,171.776,68793269
2014-09-05,171.9564,172.8327,171.3036,172.5578,78439841
2014-09-08,172.6007,172.8499,171.8104,172.3383,57729996
2014-09-09,172.1626,172.2829,170.874,171.2005,79967158
2014-09-10,171.3207,171.9822,170.7538,171.8748,62275479
2014-09-11,171.1833,172.0939,171.0544,171.9135,59391813
2014-09-12,171.8963,171.9135,170.5734,171.0201,94232890
2014-09-15,171.0888,171.2263,170.4187,171.0029,66605200
2014-09-16,170.6163,172.532,170.5218,172.2657,103763511
2014-09-17,172.4719,173.2536,171.5956,172.8585,128930832
2014-09-18,172.9787,173.3997,172.7554,173.2966,74061886
2014-09-19,173.9254,174.2525,172.8638,173.3644,99348253
2014-09-22,172.9156,172.9415,171.5174,171.7893,98994653
2014-09-23,171.2585,171.9748,170.8442,171.1894,94786001
2014-09-24,170.9219,172.346,170.4731,172.3201,94668684
2014-09-25,171.785,171.7936,169.4374,169.5928,131616942
2014-09-26,169.7654,171.224,169.5237,170.9823,88543490
2014-09-29,169.3339,170.7924,169.2044,170.65,83274018
