,Date,Open,High,Low,Close,prev_close,Volume,gapped_percent,is_gapped,up_or_down,is_half_percent_continutation_target_price,is_half_percent_continued,is_gap_fill,max_gap_and_go_percentage,gap_fill_time,greatest_gap_fill_time
4294,2022-03-16,424.9696,430.6934,419.9379,427.6387,421.1242,98535316,0.9131272911886898,True,1,427.08,True,True,2.272298766017252,05:00:00,05:00:00
4316,2022-04-18,433.1519,436.0673,431.962,433.0527,435.3831,45009529,-0.5124682147745288,True,2,430.97,False,True,,00:05:00,04:55:00
4319,2022-04-21,444.7837,446.2414,433.4395,435.4822,441.6303,66763251,0.7140361519578782,True,1,446.99,False,True,,02:15:00,06:20:00
4324,2022-04-28,418.7535,426.042,414.1028,424.971,414.9008,76583634,0.9285834107815579,True,1,420.83,True,True,2.6852683822253343,01:00:00,01:10:00
4332,2022-05-10,401.1026,402.6793,391.5136,395.728,396.2932,93500289,1.2135963978185804,True,1,403.08,False,True,,01:15:00,03:00:00
4334,2022-05-12,386.1092,392.4854,381.9245,385.5737,391.4739,88134435,-1.370385101024622,True,2,384.15,True,True,-2.439345253923695,01:35:00,01:40:00
4336,2022-05-16,396.6303,400.5869,394.2703,397.5922,399.1094,55182000,-0.6211580083054964,True,2,394.63,True,True,-1.2124745746404304,04:00:00,05:00:00
4339,2022-05-19,385.306,390.8393,383.8681,386.9818,387.5373,69743084,-0.5757639329169174,True,2,383.37,False,True,,00:05:00,05:30:00
4340,2022-05-20,389.9567,393.705,377.3531,381.637,386.9818,84990541,0.7687441631621929,True,1,391.89,True,True,1.7373426864002293,00:40:00,04:00:00
4350,2022-06-06,411.3064,413.1201,407.1141,407.687,407.211,44080270,1.0057193936313076,True,1,413.34,False,True,,05:50:00,06:05:00
4351,2022-06-07,404.6823,412.7343,404.1964,411.4155,407.687,41935682,-0.7370114818475972,True,2,402.64,False,True,,00:55:00,06:20:00
4356,2022-06-14,373.694,374.7749,367.4865,369.8763,371.7604,69564432,0.5201199482247202,True,1,375.55,False,True,,00:10:00,05:45:00
4357,2022-06-15,374.1998,380.685,369.0037,378.7761,369.8763,88288567,1.1689043066560272,True,1,376.05,True,True,2.922247248607166,05:00:00,05:00:00
4361,2022-06-22,369.1337,377.1706,368.6656,374.2327,374.3223,58460885,-1.386131683845715,True,2,367.26,False,True,,00:45:00,04:45:00
4364,2022-06-27,389.4502,389.7589,385.855,387.0456,386.4826,47339113,0.7678482808799166,True,1,391.38,False,True,,00:15:00,06:20:00
4369,2022-07-05,374.3124,380.4173,371.3744,379.4911,378.842,59936557,-1.1956435664472154,True,2,372.42,True,True,-1.9711647599790953,05:05:00,06:25:00
4372,2022-07-08,385.6857,389.0419,384.0822,387.8567,387.6974,46649119,-0.5188840575149637,True,2,383.75,False,True,,00:55:00,01:55:00
4375,2022-07-13,373.5654,380.3575,373.1253,378.301,378.6745,56309524,-1.3492062444130808,True,2,371.67,False,True,,01:35:00,03:30:00
4378,2022-07-18,386.7911,387.4982,379.1027,380.9252,382.2448,43396691,1.189368697755986,True,1,388.7,False,True,,05:10:00,06:20:00
4388,2022-08-01,407.4761,411.7187,406.7292,409.2289,410.6929,48852296,-0.7832616536589833,True,2,405.42,False,True,,00:35:00,01:20:00
4393,2022-08-08,413.5512,415.9115,410.1452,411.0216,410.7527,37839947,0.6813101898052015,True,1,415.6,True,True,1.2559381837295251,03:05:00,05:20:00
4396,2022-08-11,421.2595,423.2115,417.495,418.1722,417.5547,41128389,0.8872609983793686,True,1,423.35,False,True,,05:40:00,05:40:00
4407,2022-08-26,417.6743,418.2419,403.5921,405.4446,415.5629,68820755,0.5080819293541371,True,1,419.75,False,True,,00:30:00,06:25:00
4411,2022-09-01,391.2827,395.1568,388.4443,392.5027,395.0771,58379914,-0.9604201306529779,True,2,389.31,True,True,-1.6788621765219942,06:25:00,06:25:00
4412,2022-09-02,398.6524,399.9122,388.7331,390.6154,392.5027,67774712,1.5667917698400535,True,1,400.61,False,True,,03:50:00,06:15:00
4415,2022-09-08,393.6828,399.2201,392.5076,397.7063,396.7504,56724699,-0.7731813250849973,True,2,391.7,False,True,,00:50:00,01:50:00
