,Date,Open,High,Low,Close,prev_close,Volume,gapped_percent,is_gapped,up_or_down,is_half_percent_continutation_target_price,is_half_percent_continued,is_gap_fill,max_gap_and_go_percentage,continuation_fill_time,greatest_continuation_fill_time
3491,2018-12-28,234.5725,236.2831,231.6307,232.8996,230.1175,136233713,1.9359674948667458,True,1,235.72,True,False,2.67932686562299,05:15:00,05:20:00
3495,2019-01-04,232.7022,237.8903,232.3074,236.6778,229.798,124917125,1.2638056031819263,True,1,233.85,True,False,3.5214840860233747,00:20:00,03:35:00
3505,2019-01-18,249.0465,250.9262,248.2194,250.071,246.9788,103541522,0.8371973626886202,True,1,250.28,True,False,1.5982748316859534,01:55:00,03:10:00
3510,2019-01-28,247.5521,247.9657,246.0483,247.7025,249.4788,76779557,-0.7722900703386464,True,2,246.3,True,False,-1.3750667391377525,02:15:00,02:30:00
3512,2019-01-30,249.1593,252.3736,248.3604,251.2928,247.7119,82063178,0.5843078188815263,True,1,250.4,True,False,1.8819039375984747,04:30:00,05:25:00
3518,2019-02-07,254.6481,255.2214,252.1575,253.2684,256.3211,86004887,-0.6526969492562266,True,2,253.37,True,False,-1.6243688092786752,01:40:00,02:30:00
3521,2019-02-12,256.0391,258.0129,255.9639,257.8766,254.3756,62039889,0.6539542314593174,True,1,257.31,True,False,1.4298934331751987,01:30:00,04:30:00
3539,2019-03-11,258.7084,261.8663,258.6802,261.575,257.0072,53942508,0.6619269810339833,True,1,259.99,True,False,1.8906474215508406,00:45:00,06:05:00
3548,2019-03-22,267.3622,267.9129,263.5484,264.5491,268.7121,107983250,-0.5023592164253294,True,2,266.02,True,False,-1.921647741207041,00:25:00,06:25:00
3554,2019-04-01,268.7593,270.1376,268.4761,269.7222,266.3144,61780380,0.9180502443728235,True,1,270.09,True,False,1.4355964228746334,06:25:00,06:25:00
3576,2019-05-02,275.3485,276.3114,273.3095,274.7775,276.7457,59181767,-0.5048678263113024,True,2,273.96,True,False,-1.2416453083101147,02:10:00,02:25:00
3577,2019-05-03,276.4247,277.8596,276.1793,277.4489,274.7775,45381002,0.5994668413534581,True,1,277.8,True,False,1.1216711703105333,04:20:00,04:20:00
3579,2019-05-07,273.9042,274.5272,269.8072,270.4585,276.5474,118398019,-0.9557855181426327,True,2,272.52,True,False,-2.437267535330276,00:45:00,06:05:00
3581,2019-05-09,269.2597,271.2421,267.4377,270.7418,272.9781,90529934,-1.3621605542715605,True,2,267.89,True,False,-2.0296133645885797,00:50:00,01:55:00
